date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,char
1990-01-01,-0.0901745,-0.071631781,-0.072978418,-0.069524193,-0.0677025,-0.076002272,-0.065065602,-0.047350502,-0.095228429,-0.099494863,1
1990-02-01,0.0384794593,0.0253606058,0.0117648609,0.0094658919,0.0175976191,0.0153853831,0.0109749608,0.0011521736,0.0226477162,0.0541331652,1
1990-03-01,0.0295722022,0.0383608464,0.0154433028,0.0103482516,0.027538393,0.0160648302,0.0325753889,0.0287017907,0.0350550091,0.0304081079,1
1990-04-01,-0.027831915,-0.034246964,-0.001956053,-0.025429763,-0.023979448,-0.025730853,-0.030857038,-0.037263319,-0.042264564,-0.056224122,1
1990-05-01,0.0832822402,0.1195413233,0.0846619442,0.0748810764,0.0972670863,0.090361524,0.0810325139,0.0874405194,0.0894618097,0.0909275328,1
1990-06-01,-0.003200028,0.0007596862,0.0081371185,-0.004815719,-0.014492633,-0.004952196,-0.026467536,0.0082276783,0.001314319,-0.0102855,1
1990-07-01,-0.010820504,-0.019580915,-0.006308552,-0.023210603,0.0039629859,-0.014307914,0.0126758254,-0.017430037,-0.020679914,-0.089629826,1
1990-08-01,-0.041845522,-0.075843266,-0.089008071,-0.09553976,-0.104631017,-0.11226878,-0.105927641,-0.123670914,-0.119211764,-0.130301766,1
1990-09-01,-0.024421636,-0.028437223,-0.041432757,-0.035409737,-0.057077238,-0.077646122,-0.081167719,-0.096323487,-0.090555248,-0.134871028,1
1990-10-01,0.0050837631,0.0174452465,-0.011136774,-0.00742361,0.0003871451,-0.035253025,-0.03152308,-0.035110525,-0.057144729,-0.076873513,1
1990-11-01,0.0349614386,0.0535488781,0.0642487592,0.0762886717,0.0792342988,0.0682973128,0.066372155,0.0947302887,0.1393625902,0.1486685799,1
1990-12-01,0.0379712644,0.068236423,0.0403963738,0.0284446088,0.0282143914,0.0378231583,0.0281050172,0.006776663,0.0090034925,0.0021021041,1
1991-01-01,0.0831659059,0.076933107,0.0743453737,0.076335219,0.0313473167,0.0282634664,0.0452718073,0.0528305631,0.039259237,0.0638315379,1
1991-02-01,0.0904847052,0.0875486377,0.0546504312,0.0712896694,0.0921426311,0.078922152,0.0837255373,0.0664288398,0.0748284002,0.0763944701,1
1991-03-01,0.0357808849,0.0382776073,0.0351638604,0.0432126698,0.0200321603,0.0448086593,0.0288211738,0.0136110339,0.0159201641,0.0496344965,1
1991-04-01,-0.028582466,-0.01227719,0.0059003788,0.0038249758,-0.003377578,0.0077390523,0.0082132155,0.0195923268,0.018879142,-0.032915375,1
1991-05-01,0.0702607169,0.0537625661,0.0353860352,0.0363417201,0.0389445699,0.0298645174,0.034394834,0.0541173929,0.0494255326,0.029793131,1
1991-06-01,-0.065041703,-0.058715723,-0.053513744,-0.04239455,-0.053211742,-0.055123646,-0.036267993,-0.016264672,-0.038369914,-0.053855454,1
1991-07-01,0.0478010175,0.0286421823,0.0472389627,0.0384339325,0.0495385396,0.0450446821,0.0530816106,0.0461860436,0.0686452246,0.0634846512,1
1991-08-01,0.0539083912,0.0397383508,0.0344471453,0.0335259613,0.0172105555,0.0126352415,0.0275338768,0.0168656045,0.0041148568,0.0265122117,1
1991-09-01,-0.010791777,-0.018335632,-0.010238057,-0.018205378,-0.008410275,-0.011338281,0.0066715363,-0.014718147,-0.024451358,-0.007378569,1
1991-10-01,0.0640948623,0.0078235908,0.0245911726,0.0260076958,0.0221736409,0.0024097926,0.0153329501,0.0067039364,0.0160960925,0.0174523315,1
1991-11-01,-0.058281692,-0.04400292,-0.018757704,-0.045998479,-0.029239984,-0.036980862,-0.034967521,-0.050818495,-0.036848785,-0.054834573,1
1991-12-01,0.1202670516,0.1216643029,0.0963384556,0.1193194522,0.1170767999,0.0925916419,0.1297843018,0.0984140426,0.1099119343,0.114982501,1
1992-01-01,-0.027239992,-0.025150778,0.002541391,-0.01816192,0.008021835,0.0058108414,-0.014857665,0.0578982456,0.0555124275,0.0718426182,1
1992-02-01,0.0479832662,0.0511153515,0.0329472149,0.0331672941,0.0270319212,0.0212988474,0.0074362978,0.0024704528,-0.00525543,0.0055219632,1
1992-03-01,-0.019444865,-0.026644656,-0.019685755,-0.031468093,-0.017939963,-0.021422569,-0.013303524,-0.023792163,-0.024022421,-0.047445492,1
1992-04-01,-0.000476263,0.0290841526,0.0275526183,0.0175115657,0.0160778202,0.0240644973,0.032574091,-0.00669796,-0.013467338,-0.048599374,1
1992-05-01,0.0008959842,0.0027469661,0.0076482333,0.0065843959,0.0006182517,0.0025557933,0.0151942992,0.0132063529,0.0129405811,0.0004190037,1
