Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
192607,12.07,5.55,1.92,1.06,3.17,5.41,1.77,2.44,0.6,4.55,1.27,11.4,1.68,1.5,2.09,2.73,1.58,0.63,0.52
192608,-9.73,2.65,2.64,6.09,1,4.01,2.05,4.58,7.1,0.18,2.17,6.4,2.38,1.58,2.63,4.46,4.94,8.31,3.92
192609,-15.16,1.28,0.06,-0.71,-1.05,3.05,-0.3,-0.17,-1.46,-0.09,-2.39,6.32,0.73,-0.89,0.38,-0.28,0.17,-2.16,0.44
192610,-5.63,-3.6,-2.42,-3.59,-2.89,-2.96,-2.21,-4.18,-4.28,-3.8,-1.6,-5.01,-1.41,-2.31,-2.1,-4.65,-2.8,-5.46,-1.17
192611,5.58,3.13,2.92,3.13,4.11,2.57,1.89,3.96,2.48,6.04,1.41,1.11,3.63,1.97,1.8,4,3.85,2.77,1.76
192612,-6.13,2.96,2.58,2.61,1.68,3.33,1.82,5.2,2.06,1.36,2.16,5.68,1.69,0.66,3.15,5.9,3.21,1.38,3.81
192701,0.69,-0.28,0.02,4.33,-0.36,0.36,-0.47,0.68,5.5,-0.59,-0.04,-0.1,0.71,-1.65,0.87,-0.12,3.03,4.69,7.51
192702,-1.26,4.96,3.66,8.14,3.7,5.04,3.39,5.49,9.22,4.37,2.71,7.57,3.22,3.77,2.96,5,6.91,8.06,12.04
192703,-12.81,1.2,0.16,-2.64,0.23,1.56,-0.42,-0.16,-1.93,0.74,-0.51,3.13,0.38,-1.78,1.08,1.02,-3.48,-3.04,0.67
192704,-6.16,2.91,-0.7,0.41,2.16,0.97,-0.44,-0.03,1.74,3.95,-0.53,4.36,-1.65,-1.11,0.3,0.35,-1.16,2.22,0.66
192705,0.76,5.41,5.04,8.92,5.57,4.89,5.25,6.1,8.92,5.72,5.33,5.11,4.71,5.21,5.28,5.15,8.93,8.07,10.85
192706,23.18,-0.98,-2.86,-2.22,0.08,-3.1,-2.69,-2.51,-2.35,0.91,-1.23,-3,-3.18,-2.65,-2.73,-2.66,-2.07,-2.13,-2.83
192707,3.23,9.14,6.64,6.72,10.51,5.98,6.6,7.88,6.92,11.47,8.89,6.67,4.56,5.74,7.82,8.85,6.62,7.49,6.09
192708,6.25,3.9,1.04,-1.51,5.26,1.53,0.59,0.03,-1.34,6.61,2.96,1.34,1.94,1.37,-0.48,1.27,-1.6,0.37,-3.89
192709,-7.35,5.3,4.31,5.05,5.84,3.83,5.28,3.76,6.17,7.44,3,4.24,2.96,6.35,3.79,3.22,4.49,5.85,6.67
192710,1.59,-3.51,-4.23,-6.5,-4.31,-2.17,-3.68,-5.92,-10.8,-3.97,-4.94,-1.92,-2.69,-3.96,-3.29,-7.13,-4.3,-11.51,-9.71
192711,0,7.16,6.8,7.2,7.19,6.99,6.38,7.23,8.98,7.43,6.72,7.1,6.76,6.32,6.47,7.91,6.35,8.51,9.7
192712,9.38,2.57,1.9,3.31,2.65,2.08,1.84,2.43,5.65,3.29,1.39,2.43,1.34,1.85,1.81,2.63,2.16,6.3,4.68
192801,0,-0.35,-0.25,-1.36,-0.74,0.14,-0.28,-0.54,-1.75,-1.45,0.7,0.38,-0.37,-0.85,0.54,-0.06,-1.16,-0.63,-3.43
