date,doubleq,avgRET
31/03/2000,1,.45012039
31/03/2000,2,.41058627
31/03/2000,3,.13066235
31/03/2000,4,.12207817
31/03/2000,5,.021330012
31/03/2000,6,.37279195
31/03/2000,7,.37809768
31/03/2000,8,.088866167
31/03/2000,9,.023510842
31/03/2000,10,-.040464617
31/03/2000,11,.39219171
31/03/2000,12,.23439616
31/03/2000,13,.040324755
31/03/2000,14,.035206486
31/03/2000,15,-.012978005
31/03/2000,16,.339232
31/03/2000,17,.11127437
31/03/2000,18,.036509823
31/03/2000,19,-.010050884
31/03/2000,20,-.053574398
31/03/2000,21,.057378948
31/03/2000,22,.030062582
31/03/2000,23,.028357729
31/03/2000,24,-.069458008
31/03/2000,25,-.059670977
30/06/2000,1,-.20728686
30/06/2000,2,-.11301826
30/06/2000,3,-.07304205
30/06/2000,4,-.087772965
30/06/2000,5,-.14865197
30/06/2000,6,-.21607
30/06/2000,7,-.068447448
30/06/2000,8,.03253473
30/06/2000,9,-.050577052
30/06/2000,10,-.10093495
30/06/2000,11,-.061847657
30/06/2000,12,.019830003
30/06/2000,13,-.03744847
30/06/2000,14,.0059196916
30/06/2000,15,-.12000982
30/06/2000,16,.17100634
30/06/2000,17,.037465781
30/06/2000,18,.014351864
30/06/2000,19,.00094390148
30/06/2000,20,-.01948758
30/06/2000,21,.037372202
30/06/2000,22,-.029188674
30/06/2000,23,.015831893
30/06/2000,24,.0015725758
30/06/2000,25,-.0037713817
30/09/2000,1,-.044806845
30/09/2000,2,.041623686
30/09/2000,3,.010805654
30/09/2000,4,.002617151
30/09/2000,5,-.061896607
30/09/2000,6,-.0098974556
30/09/2000,7,.1120467
30/09/2000,8,.020100357
30/09/2000,9,.039923482
30/09/2000,10,-.026974626
30/09/2000,11,.1615781
30/09/2000,12,.057528924
30/09/2000,13,.011263775
30/09/2000,14,.011996383
30/09/2000,15,-.089961603
30/09/2000,16,.17364149
30/09/2000,17,.039557032
30/09/2000,18,.047173873
30/09/2000,19,.056139551
30/09/2000,20,-.0097547565
30/09/2000,21,-.0023236542
30/09/2000,22,.05770164
30/09/2000,23,.10722505
30/09/2000,24,.049113426
30/09/2000,25,-.046277363
31/12/2000,1,-.3442632
31/12/2000,2,-.31091383
31/12/2000,3,-.12415765
31/12/2000,4,-.13539968
31/12/2000,5,-.23178107
31/12/2000,6,-.27467492
31/12/2000,7,-.12894148
31/12/2000,8,-.091967501
31/12/2000,9,-.11460935
31/12/2000,10,-.21765497
