fdate,doubleq,avgRET
31mar2000,1,.45012039
31mar2000,2,.41058627
31mar2000,3,.12882218
31mar2000,4,.12275855
31mar2000,5,.021674816
31mar2000,6,.37279195
31mar2000,7,.37809768
31mar2000,8,.088866167
31mar2000,9,.023661224
31mar2000,10,-.040464617
31mar2000,11,.39219171
31mar2000,12,.23293857
31mar2000,13,.040324755
31mar2000,14,.034112334
31mar2000,15,-.012984794
31mar2000,16,.34274948
31mar2000,17,.11214357
31mar2000,18,.037008293
31mar2000,19,-.0076859929
31mar2000,20,-.05427064
31mar2000,21,.057830464
31mar2000,22,.027472874
31mar2000,23,.031716075
31mar2000,24,-.075804755
31mar2000,25,-.059657242
30jun2000,1,-.20728686
30jun2000,2,-.11301826
30jun2000,3,-.074859895
30jun2000,4,-.086975403
30jun2000,5,-.14901876
30jun2000,6,-.21607
30jun2000,7,-.068447448
30jun2000,8,.032571483
30jun2000,9,-.051069357
30jun2000,10,-.10093495
30jun2000,11,-.061847657
30jun2000,12,.019660391
30jun2000,13,-.039307106
30jun2000,14,.0057084435
30jun2000,15,-.11874486
30jun2000,16,.17191851
30jun2000,17,.036944799
30jun2000,18,.014161372
30jun2000,19,.0041568843
30jun2000,20,-.01948758
30jun2000,21,.038441703
30jun2000,22,-.030706013
30jun2000,23,.012308885
30jun2000,24,.0009686253
30jun2000,25,.0010222929
30sep2000,1,-.044806845
30sep2000,2,.041623686
30sep2000,3,.010461026
30sep2000,4,.002980039
30sep2000,5,-.061730608
30sep2000,6,-.0098974556
30sep2000,7,.1120467
30sep2000,8,.019942181
30sep2000,9,.039923482
30sep2000,10,-.026974626
30sep2000,11,.1615781
30sep2000,12,.057528924
30sep2000,13,.011298915
30sep2000,14,.011143218
30sep2000,15,-.087866381
30sep2000,16,.17364149
30sep2000,17,.039057329
30sep2000,18,.047801994
30sep2000,19,.060583159
30sep2000,20,-.0072004911
30sep2000,21,-.0036347352
30sep2000,22,.067381762
30sep2000,23,.11054169
30sep2000,24,.043283332
30sep2000,25,-.043830696
31dec2000,1,-.3442632
31dec2000,2,-.31091383
31dec2000,3,-.12784845
31dec2000,4,-.133543
31dec2000,5,-.23197769
31dec2000,6,-.27467492
31dec2000,7,-.12894148
31dec2000,8,-.090698615
31dec2000,9,-.11561439
31dec2000,10,-.21765497
31dec2000,11,-.18231831
31dec2000,12,-.15353504
31dec2000,13,-.099191993
31dec2000,14,-.061360784
