date,mgrsizeq,avgRET
31/03/2000,1,.050548472
31/03/2000,2,.051928207
31/03/2000,3,.0513005
31/03/2000,4,.049574267
31/03/2000,5,.050543413
31/03/2000,6,.048904616
31/03/2000,7,.049972501
31/03/2000,8,.04908853
31/03/2000,9,.051213663
31/03/2000,10,.05101629
30/06/2000,1,.025594009
30/06/2000,2,.025392242
30/06/2000,3,.024894398
30/06/2000,4,.026750764
30/06/2000,5,.028634181
30/06/2000,6,.024887705
30/06/2000,7,.023823269
30/06/2000,8,.027503595
30/06/2000,9,.024145793
30/06/2000,10,.02314714
30/09/2000,1,.016584391
30/09/2000,2,.016215941
30/09/2000,3,.015700597
30/09/2000,4,.015820038
30/09/2000,5,.017972317
30/09/2000,6,.014708078
30/09/2000,7,.017555907
30/09/2000,8,.01612282
30/09/2000,9,.014398223
30/09/2000,10,.016221395
31/12/2000,1,-.0024561109
31/12/2000,2,-.0031241952
31/12/2000,3,-.00279648
31/12/2000,4,-.0029326158
31/12/2000,5,-.0019523017
31/12/2000,6,-.0035164927
31/12/2000,7,-.00056331675
31/12/2000,8,-.002392988
31/12/2000,9,-.00028210261
31/12/2000,10,-.0029443591
31/03/2001,1,-.06523034
31/03/2001,2,-.066415444
31/03/2001,3,-.065538928
31/03/2001,4,-.065045446
31/03/2001,5,-.065286085
31/03/2001,6,-.064296104
31/03/2001,7,-.065184049
31/03/2001,8,-.064987011
31/03/2001,9,-.067450218
31/03/2001,10,-.063865341
30/06/2001,1,.082807235
30/06/2001,2,.083282955
30/06/2001,3,.083474532
30/06/2001,4,.083990477
30/06/2001,5,.082211941
30/06/2001,6,.082764477
30/06/2001,7,.082765602
30/06/2001,8,.083820589
30/06/2001,9,.081985258
30/06/2001,10,.085462928
30/09/2001,1,-.13256192
30/09/2001,2,-.13229221
30/09/2001,3,-.13376214
30/09/2001,4,-.13349816
30/09/2001,5,-.13361989
30/09/2001,6,-.13361578
30/09/2001,7,-.13156864
30/09/2001,8,-.13380454
30/09/2001,9,-.1344163
30/09/2001,10,-.13059285
31/12/2001,1,.15357694
31/12/2001,2,.15268359
31/12/2001,3,.15389647
31/12/2001,4,.15414378
31/12/2001,5,.15592836
31/12/2001,6,.15587635
31/12/2001,7,.15809755
31/12/2001,8,.15546121
31/12/2001,9,.15444976
31/12/2001,10,.15137155
31/03/2002,1,.053347424
31/03/2002,2,.05123084
31/03/2002,3,.053223193
31/03/2002,4,.052801874
31/03/2002,5,.051249966
31/03/2002,6,.053742558
31/03/2002,7,.051756933
31/03/2002,8,.051780503
31/03/2002,9,.044299711
31/03/2002,10,.053615503
30/06/2002,1,-.062164176
30/06/2002,2,-.059534956
30/06/2002,3,-.060333084
30/06/2002,4,-.057437427
30/06/2002,5,-.060968503
30/06/2002,6,-.062520839
30/06/2002,7,-.061627161
30/06/2002,8,-.061018087
30/06/2002,9,-.06569957
30/06/2002,10,-.06165994
30/09/2002,1,-.14439626
30/09/2002,2,-.1481629
30/09/2002,3,-.14810579
30/09/2002,4,-.14444749
30/09/2002,5,-.14745386
30/09/2002,6,-.14590412
30/09/2002,7,-.14714862
30/09/2002,8,-.1483812
30/09/2002,9,-.14961107
30/09/2002,10,-.14819968
31/12/2002,1,.10180965
31/12/2002,2,.096618041
31/12/2002,3,.092263289
31/12/2002,4,.098158129
31/12/2002,5,.096887738
31/12/2002,6,.10056906
31/12/2002,7,.097129457
31/12/2002,8,.095185719
31/12/2002,9,.096079551
31/12/2002,10,.089275748
31/03/2003,1,-.014928813
31/03/2003,2,-.017656002
31/03/2003,3,-.014404864
31/03/2003,4,-.013813353
31/03/2003,5,-.01850128
31/03/2003,6,-.014396857
31/03/2003,7,-.023317624
31/03/2003,8,-.015026127
31/03/2003,9,-.026303381
31/03/2003,10,-.016251614
30/06/2003,1,.22307405
30/06/2003,2,.21980645
30/06/2003,3,.21877915
30/06/2003,4,.21757114
30/06/2003,5,.2204603
30/06/2003,6,.21927872
30/06/2003,7,.22228673
30/06/2003,8,.22021796
30/06/2003,9,.20869541
30/06/2003,10,.21483964
30/09/2003,1,.086028963
30/09/2003,2,.089263596
30/09/2003,3,.088673107
30/09/2003,4,.089384831
30/09/2003,5,.078394741
30/09/2003,6,.083706677
30/09/2003,7,.081242919
30/09/2003,8,.088032775
30/09/2003,9,.058996715
30/09/2003,10,.083258696
31/12/2003,1,.19411232
31/12/2003,2,.18717732
31/12/2003,3,.19410881
31/12/2003,4,.19313562
31/12/2003,5,.19223604
31/12/2003,6,.19471641
31/12/2003,7,.19464496
31/12/2003,8,.19286497
31/12/2003,9,.1569922
31/12/2003,10,.17942771
31/03/2004,1,.04391668
31/03/2004,2,.0434203
31/03/2004,3,.043650832
31/03/2004,4,.04369323
31/03/2004,5,.043335222
31/03/2004,6,.043562114
31/03/2004,7,.043248367
31/03/2004,8,.043563824
31/03/2004,9,.042856276
31/03/2004,10,.043175265
30/06/2004,1,.025553422
30/06/2004,2,.025333392
30/06/2004,3,.025305282
30/06/2004,4,.025545878
30/06/2004,5,.025376592
30/06/2004,6,.025313213
30/06/2004,7,.025417356
30/06/2004,8,.025342571
30/06/2004,9,.025896115
30/06/2004,10,.025630064
30/09/2004,1,.000038636546
30/09/2004,2,-.00037634702
30/09/2004,3,-.00043076789
30/09/2004,4,-.000016853526
30/09/2004,5,-.00058938365
30/09/2004,6,-.00042525723
30/09/2004,7,-.00057583814
30/09/2004,8,-.0004490375
30/09/2004,9,-.0007794812
30/09/2004,10,-.00087681308
31/12/2004,1,.11668514
31/12/2004,2,.11717092
31/12/2004,3,.11695171
31/12/2004,4,.11726028
31/12/2004,5,.1167105
31/12/2004,6,.11718683
31/12/2004,7,.1167665
31/12/2004,8,.11696892
31/12/2004,9,.11592367
31/12/2004,10,.11710319
31/03/2005,1,.00061048195
31/03/2005,2,.00063256896
31/03/2005,3,.00045680784
31/03/2005,4,.00054178212
31/03/2005,5,.00062257436
31/03/2005,6,.00032883632
31/03/2005,7,.00051773462
31/03/2005,8,-.00011444621
31/03/2005,9,-.00034414089
31/03/2005,10,.00036383202
30/06/2005,1,.037038863
30/06/2005,2,.036510017
30/06/2005,3,.037818309
30/06/2005,4,.037774622
30/06/2005,5,.037252646
30/06/2005,6,.036986537
30/06/2005,7,.037823506
30/06/2005,8,.037809301
30/06/2005,9,.036604244
30/06/2005,10,.03702049
30/09/2005,1,.1699134
30/09/2005,2,.17016487
30/09/2005,3,.16987689
30/09/2005,4,.16982193
30/09/2005,5,.17168702
30/09/2005,6,.17121641
30/09/2005,7,.17011869
30/09/2005,8,.17186438
30/09/2005,9,.170895
30/09/2005,10,.16974454
31/12/2005,1,.014063227
31/12/2005,2,.014318249
31/12/2005,3,.014047078
31/12/2005,4,.014185106
31/12/2005,5,.017115319
31/12/2005,6,.015485727
31/12/2005,7,.014119649
31/12/2005,8,.016890323
31/12/2005,9,.022747079
31/12/2005,10,.014179859
31/03/2006,1,.098179564
31/03/2006,2,.097930104
31/03/2006,3,.098003469
31/03/2006,4,.098123275
31/03/2006,5,.098035902
31/03/2006,6,.099202052
31/03/2006,7,.09793821
31/03/2006,8,.086662568
31/03/2006,9,.089098275
31/03/2006,10,.097889319
30/06/2006,1,.00048909581
30/06/2006,2,.0007019699
30/06/2006,3,.00078066107
30/06/2006,4,.00059708295
30/06/2006,5,.00092867285
30/06/2006,6,.0029442708
30/06/2006,7,.0004119644
30/06/2006,8,-.0032730633
30/06/2006,9,-.0039073303
30/06/2006,10,.00039562222
30/09/2006,1,.077851951
30/09/2006,2,.077994511
30/09/2006,3,.078049913
30/09/2006,4,.077988304
30/09/2006,5,.077910818
30/09/2006,6,.077662148
30/09/2006,7,.07805384
30/09/2006,8,.07623551
30/09/2006,9,.078096323
30/09/2006,10,.077655815
31/12/2006,1,.16016302
31/12/2006,2,.1605067
31/12/2006,3,.16016243
31/12/2006,4,.16019425
31/12/2006,5,.16010751
31/12/2006,6,.15474105
31/12/2006,7,.16017966
31/12/2006,8,.14734061
31/12/2006,9,.13333124
31/12/2006,10,.1601637
31/03/2007,1,.0024078675
31/03/2007,2,.0023679917
31/03/2007,3,.0023604657
31/03/2007,4,.0023825469
31/03/2007,5,.0013975813
31/03/2007,6,.0020387419
31/03/2007,7,.0013506204
31/03/2007,8,.0028249179
31/03/2007,9,.02830323
31/03/2007,10,-.001179449
30/06/2007,1,.15133646
30/06/2007,2,.1513861
30/06/2007,3,.15141673
30/06/2007,4,.1514415
30/06/2007,5,.15178108
30/06/2007,6,.15138096
30/06/2007,7,.15134232
30/06/2007,8,.15043984
30/06/2007,9,.14783324
30/06/2007,10,.15287343
30/09/2007,1,.13409778
30/09/2007,2,.13433488
30/09/2007,3,.13411324
30/09/2007,4,.13434862
30/09/2007,5,.12852776
30/09/2007,6,.13447967
30/09/2007,7,.13425389
30/09/2007,8,.13370802
30/09/2007,9,.12987062
30/09/2007,10,.12784195
31/12/2007,1,.0031340492
31/12/2007,2,.0031928697
31/12/2007,3,.0031434218
31/12/2007,4,.0031579006
31/12/2007,5,.0031344329
31/12/2007,6,.0032068074
31/12/2007,7,.0031466659
31/12/2007,8,.0088927113
31/12/2007,9,.0089568738
31/12/2007,10,.0045016422
31/03/2008,1,-.060717203
31/03/2008,2,-.060695425
31/03/2008,3,-.060295843
31/03/2008,4,-.060717978
31/03/2008,5,-.060748238
31/03/2008,6,-.06067824
31/03/2008,7,-.060754891
31/03/2008,8,-.078421809
31/03/2008,9,-.060779314
31/03/2008,10,-.060016565
30/06/2008,1,-.016357528
30/06/2008,2,-.016348859
30/06/2008,3,-.016061069
30/06/2008,4,-.016256047
30/06/2008,5,-.016084807
30/06/2008,6,-.016389847
30/06/2008,7,-.015893653
30/06/2008,8,-.011686321
30/06/2008,9,-.016145848
30/06/2008,10,-.016317248
30/09/2008,1,-.11148895
30/09/2008,2,-.11147431
30/09/2008,3,-.11149401
30/09/2008,4,-.11149792
30/09/2008,5,-.11143252
30/09/2008,6,-.11146161
30/09/2008,7,-.11075101
30/09/2008,8,-.10714632
30/09/2008,9,-.111426
30/09/2008,10,-.11137617
31/12/2008,1,-.17450882
31/12/2008,2,-.17451088
31/12/2008,3,-.1745168
31/12/2008,4,-.17459278
31/12/2008,5,-.173695
31/12/2008,6,-.17444147
31/12/2008,7,-.17378995
31/12/2008,8,-.17595008
31/12/2008,9,-.17508458
31/12/2008,10,-.17436184
31/03/2009,1,-.025873683
31/03/2009,2,-.025800042
31/03/2009,3,-.025915189
31/03/2009,4,-.025786838
31/03/2009,5,-.024413727
31/03/2009,6,-.025856601
31/03/2009,7,-.025686679
31/03/2009,8,-.042797986
31/03/2009,9,-.040212378
31/03/2009,10,-.025823392
30/06/2009,1,.31383193
30/06/2009,2,.31384796
30/06/2009,3,.31381223
30/06/2009,4,.3138783
30/06/2009,5,.31382605
30/06/2009,6,.31381795
30/06/2009,7,.31397822
30/06/2009,8,.31625488
30/06/2009,9,.31511199
30/06/2009,10,.31190082
30/09/2009,1,.17136514
30/09/2009,2,.1713471
30/09/2009,3,.17063469
30/09/2009,4,.17139405
30/09/2009,5,.17138043
30/09/2009,6,.17135827
30/09/2009,7,.17117965
30/09/2009,8,.17681745
30/09/2009,9,.17446885
30/09/2009,10,.17104717
31/12/2009,1,.092518725
31/12/2009,2,.092535406
31/12/2009,3,.092525437
31/12/2009,4,.092551291
31/12/2009,5,.092529707
31/12/2009,6,.092474498
31/12/2009,7,.092590854
31/12/2009,8,.096928596
31/12/2009,9,.098426595
31/12/2009,10,.09250138
31/03/2010,1,.052571457
31/03/2010,2,.05248908
31/03/2010,3,.052559413
31/03/2010,4,.052579023
31/03/2010,5,.052574892
31/03/2010,6,.052592974
31/03/2010,7,.052488107
31/03/2010,8,.052261278
31/03/2010,9,.052423824
31/03/2010,10,.053947419
30/06/2010,1,-.10412573
30/06/2010,2,-.10419589
30/06/2010,3,-.10411152
30/06/2010,4,-.10420173
30/06/2010,5,-.10414287
30/06/2010,6,-.1041529
30/06/2010,7,-.1041435
30/06/2010,8,-.10428523
30/06/2010,9,-.10460504
30/06/2010,10,-.10334013
30/09/2010,1,.15051363
30/09/2010,2,.15065518
30/09/2010,3,.15080251
30/09/2010,4,.15074477
30/09/2010,5,.15055783
30/09/2010,6,.15058903
30/09/2010,7,.15057416
30/09/2010,8,.1509289
30/09/2010,9,.15058815
30/09/2010,10,.15020806
31/12/2010,1,.1061041
31/12/2010,2,.10594837
31/12/2010,3,.10586126
31/12/2010,4,.10606576
31/12/2010,5,.10612404
31/12/2010,6,.10604512
31/12/2010,7,.10652728
31/12/2010,8,.10616484
31/12/2010,9,.10436421
31/12/2010,10,.10627665
31/03/2011,1,.061986458
31/03/2011,2,.061959971
31/03/2011,3,.061878208
31/03/2011,4,.061912891
31/03/2011,5,.06188542
31/03/2011,6,.061875377
31/03/2011,7,.061908826
31/03/2011,8,.062057201
31/03/2011,9,.062586516
31/03/2011,10,.061479229
30/06/2011,1,.011795526
30/06/2011,2,.011850394
30/06/2011,3,.011861832
30/06/2011,4,.011844965
30/06/2011,5,.011809281
30/06/2011,6,.011831683
30/06/2011,7,.011776045
30/06/2011,8,.012124029
30/06/2011,9,.012076897
30/06/2011,10,.01200397
30/09/2011,1,-.13845928
30/09/2011,2,-.13835905
30/09/2011,3,-.13839734
30/09/2011,4,-.13843569
30/09/2011,5,-.13846776
30/09/2011,6,-.13838349
30/09/2011,7,-.13847949
30/09/2011,8,-.13706824
30/09/2011,9,-.1375753
30/09/2011,10,-.13833833
31/12/2011,1,.1133775
31/12/2011,2,.11344876
31/12/2011,3,.11343181
31/12/2011,4,.11341731
31/12/2011,5,.11339092
31/12/2011,6,.1134121
31/12/2011,7,.11346775
31/12/2011,8,.11389805
31/12/2011,9,.11461658
31/12/2011,10,.11343227
31/03/2012,1,.14319073
31/03/2012,2,.14315607
31/03/2012,3,.14317501
31/03/2012,4,.14322263
31/03/2012,5,.14318004
31/03/2012,6,.14318901
31/03/2012,7,.14301741
31/03/2012,8,.1432194
31/03/2012,9,.14258793
31/03/2012,10,.14308318
30/06/2012,1,-.032347213
30/06/2012,2,-.0323628
30/06/2012,3,-.032377597
30/06/2012,4,-.03237205
30/06/2012,5,-.03235098
30/06/2012,6,-.032340523
30/06/2012,7,-.032366339
30/06/2012,8,-.031964049
30/06/2012,9,-.032030549
30/06/2012,10,-.03221136
30/09/2012,1,.071070924
30/09/2012,2,.071041323
30/09/2012,3,.071059123
30/09/2012,4,.070993215
30/09/2012,5,.071031757
30/09/2012,6,.071021281
30/09/2012,7,.07104528
30/09/2012,8,.070650302
30/09/2012,9,.070129946
30/09/2012,10,.071143501
31/12/2012,1,.030383205
31/12/2012,2,.030173022
31/12/2012,3,.030119594
31/12/2012,4,.030320318
31/12/2012,5,.030200474
31/12/2012,6,.030191002
31/12/2012,7,.030108497
31/12/2012,8,.029909613
31/12/2012,9,.029192876
31/12/2012,10,.030156836
31/03/2013,1,.098037772
31/03/2013,2,.09788461
31/03/2013,3,.097972281
31/03/2013,4,.097969703
31/03/2013,5,.098020129
31/03/2013,6,.098004721
31/03/2013,7,.097889706
31/03/2013,8,.097718455
31/03/2013,9,.098697208
31/03/2013,10,.097587042
30/06/2013,1,.025543995
30/06/2013,2,.025505928
30/06/2013,3,.025468988
30/06/2013,4,.025463
30/06/2013,5,.025485795
30/06/2013,6,.025471652
30/06/2013,7,.025448039
30/06/2013,8,.025304334
30/06/2013,9,.02388088
30/06/2013,10,.025174752
30/09/2013,1,.087322384
30/09/2013,2,.087102719
30/09/2013,3,.087302305
30/09/2013,4,.087218128
30/09/2013,5,.087356232
30/09/2013,6,.087349631
30/09/2013,7,.08717265
30/09/2013,8,.086855002
30/09/2013,9,.085721016
30/09/2013,10,.08713153
31/12/2013,1,.097387612
31/12/2013,2,.097235627
31/12/2013,3,.097458079
31/12/2013,4,.097394876
31/12/2013,5,.097181998
31/12/2013,6,.097095594
31/12/2013,7,.097332045
31/12/2013,8,.097081453
31/12/2013,9,.09723828
31/12/2013,10,.097281031
31/03/2014,1,.023598332
31/03/2014,2,.023595333
31/03/2014,3,.023622427
31/03/2014,4,.023627901
31/03/2014,5,.023549067
31/03/2014,6,.023631975
31/03/2014,7,.023635522
31/03/2014,8,.023872271
31/03/2014,9,.023710234
31/03/2014,10,.023475017
30/06/2014,1,.057804327
30/06/2014,2,.057766501
30/06/2014,3,.057747949
30/06/2014,4,.057767287
30/06/2014,5,.057699397
30/06/2014,6,.057802558
30/06/2014,7,.057757419
30/06/2014,8,.057770379
30/06/2014,9,.057578683
30/06/2014,10,.057637464
30/09/2014,1,.0069248332
30/09/2014,2,.0069646137
30/09/2014,3,.0069719106
30/09/2014,4,.0071533457
30/09/2014,5,.0069827433
30/09/2014,6,.0069381171
30/09/2014,7,.0071690064
30/09/2014,8,.0072710356
30/09/2014,9,.0082147038
30/09/2014,10,.0072689168
31/12/2014,1,.043120723
31/12/2014,2,.043015037
31/12/2014,3,.043106455
31/12/2014,4,.043006837
31/12/2014,5,.043144513
31/12/2014,6,.043117154
31/12/2014,7,.043018751
31/12/2014,8,.043538988
31/12/2014,9,.045175653
31/12/2014,10,.044146162
31/03/2015,1,.030232705
31/03/2015,2,.030151978
31/03/2015,3,.030242896
31/03/2015,4,.030170798
31/03/2015,5,.030223681
31/03/2015,6,.030236008
31/03/2015,7,.030150812
31/03/2015,8,.03007745
31/03/2015,9,.029114826
31/03/2015,10,.030042529
30/06/2015,1,.015035927
30/06/2015,2,.015032277
30/06/2015,3,.015040532
30/06/2015,4,.015019247
30/06/2015,5,.015052085
30/06/2015,6,.015016725
30/06/2015,7,.015036297
30/06/2015,8,.014782889
30/06/2015,9,.014108826
30/06/2015,10,.01358084
30/09/2015,1,-.069943033
30/09/2015,2,-.069807194
30/09/2015,3,-.069974683
30/09/2015,4,-.069833159
30/09/2015,5,-.069823846
30/09/2015,6,-.06985338
30/09/2015,7,-.069802493
30/09/2015,8,-.068708681
30/09/2015,9,-.06781055
30/09/2015,10,-.069007397
31/12/2015,1,.062913738
31/12/2015,2,.062846296
31/12/2015,3,.06286969
31/12/2015,4,.062881999
31/12/2015,5,.062862158
