date,mgrsizeq,avgRET
31/03/2000,1,.056121696
31/03/2000,2,.055840496
31/03/2000,3,.055207998
31/03/2000,4,.053981498
31/03/2000,5,.054939263
31/03/2000,6,.046385549
31/03/2000,7,.054241039
31/03/2000,8,.048131581
31/03/2000,9,.05015159
31/03/2000,10,.056298569
30/06/2000,1,.019353563
30/06/2000,2,.019967871
30/06/2000,3,.019535407
30/06/2000,4,.020679671
30/06/2000,5,.023157232
30/06/2000,6,.018513555
30/06/2000,7,.015644072
30/06/2000,8,.026025334
30/06/2000,9,.021730693
30/06/2000,10,.0172881
30/09/2000,1,.011884853
30/09/2000,2,.012525209
30/09/2000,3,.012381129
30/09/2000,4,.012904531
30/09/2000,5,.015171964
30/09/2000,6,.013549367
30/09/2000,7,.014227043
30/09/2000,8,.016128102
30/09/2000,9,.014145126
30/09/2000,10,.014185844
31/12/2000,1,-.0078670289
31/12/2000,2,-.0073748725
31/12/2000,3,-.0084181326
31/12/2000,4,-.012196543
31/12/2000,5,-.0073942579
31/12/2000,6,-.0092981812
31/12/2000,7,-.0089794565
31/12/2000,8,-.0083577791
31/12/2000,9,-.0069083148
31/12/2000,10,-.0063724332
31/03/2001,1,-.063980907
31/03/2001,2,-.064901583
31/03/2001,3,-.06295675
31/03/2001,4,-.052487731
31/03/2001,5,-.063737303
31/03/2001,6,-.061124362
31/03/2001,7,-.060549337
31/03/2001,8,-.06533365
31/03/2001,9,-.062657513
31/03/2001,10,-.06276314
30/06/2001,1,.085253023
30/06/2001,2,.084847204
30/06/2001,3,.084224105
30/06/2001,4,.084580801
30/06/2001,5,.082757078
30/06/2001,6,.087027088
30/06/2001,7,.085076123
30/06/2001,8,.085502371
30/06/2001,9,.084159382
30/06/2001,10,.086640112
30/09/2001,1,-.13791856
30/09/2001,2,-.13713375
30/09/2001,3,-.13931103
30/09/2001,4,-.13952293
30/09/2001,5,-.13945296
30/09/2001,6,-.1376612
30/09/2001,7,-.13746795
30/09/2001,8,-.13887087
30/09/2001,9,-.14018705
30/09/2001,10,-.13590531
31/12/2001,1,.15014131
31/12/2001,2,.15216172
31/12/2001,3,.15237705
31/12/2001,4,.15095122
31/12/2001,5,.15457901
31/12/2001,6,.15320224
31/12/2001,7,.15535276
31/12/2001,8,.15215454
31/12/2001,9,.15344802
31/12/2001,10,.15094621
31/03/2002,1,.052250825
31/03/2002,2,.050284203
31/03/2002,3,.052562062
31/03/2002,4,.051587176
31/03/2002,5,.050522868
31/03/2002,6,.049604926
31/03/2002,7,.050927933
31/03/2002,8,.050774157
31/03/2002,9,.042744283
31/03/2002,10,.051461633
30/06/2002,1,-.063656636
30/06/2002,2,-.064809829
30/06/2002,3,-.062151428
30/06/2002,4,-.05944312
30/06/2002,5,-.064465314
30/06/2002,6,-.064031459
30/06/2002,7,-.065822199
30/06/2002,8,-.064904831
30/06/2002,9,-.069674447
30/06/2002,10,-.064071693
30/09/2002,1,-.14409091
30/09/2002,2,-.14727612
30/09/2002,3,-.14616026
30/09/2002,4,-.14280862
30/09/2002,5,-.14714317
30/09/2002,6,-.14617814
30/09/2002,7,-.14669128
30/09/2002,8,-.1477758
30/09/2002,9,-.14886253
30/09/2002,10,-.14756221
31/12/2002,1,.10060682
31/12/2002,2,.099180959
31/12/2002,3,.09088131
31/12/2002,4,.096232906
31/12/2002,5,.10210195
31/12/2002,6,.098660089
31/12/2002,7,.096763171
31/12/2002,8,.095153265
31/12/2002,9,.095585346
31/12/2002,10,.090416342
31/03/2003,1,-.015405533
31/03/2003,2,-.01925444
31/03/2003,3,-.014808528
31/03/2003,4,-.014409608
31/03/2003,5,-.020425178
31/03/2003,6,-.014000146
31/03/2003,7,-.023290802
31/03/2003,8,-.016953401
31/03/2003,9,-.025930487
31/03/2003,10,-.015086451
30/06/2003,1,.22420989
30/06/2003,2,.22184564
30/06/2003,3,.22005598
30/06/2003,4,.21895823
30/06/2003,5,.21974319
30/06/2003,6,.21770592
30/06/2003,7,.22418225
30/06/2003,8,.22118105
30/06/2003,9,.20747606
30/06/2003,10,.21409711
30/09/2003,1,.0823346
30/09/2003,2,.083272867
30/09/2003,3,.085320547
30/09/2003,4,.085775577
30/09/2003,5,.075114101
30/09/2003,6,.080783762
30/09/2003,7,.079235196
30/09/2003,8,.085340597
30/09/2003,9,.058395918
30/09/2003,10,.079477392
31/12/2003,1,.19110502
31/12/2003,2,.18433794
31/12/2003,3,.19120097
31/12/2003,4,.18982792
31/12/2003,5,.18876301
31/12/2003,6,.19115876
31/12/2003,7,.19219226
31/12/2003,8,.19065453
31/12/2003,9,.15765446
31/12/2003,10,.1778128
31/03/2004,1,.043528404
31/03/2004,2,.042955279
31/03/2004,3,.043257564
31/03/2004,4,.043306157
31/03/2004,5,.042966384
31/03/2004,6,.043034777
