date,mgrsizeq,ind,weights
31/03/2000,1,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",.034211386
31/03/2000,1,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",.019090731
31/03/2000,1,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",.12832211
31/03/2000,1,"Oil, Gas, and Coal Extraction and Products",.048033014
31/03/2000,1,"Business Equipment -- Computers, Software, and Electronic Equipment",.32694453
31/03/2000,1,Telephone and Television Transmission,.0752846
31/03/2000,1,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",.096482486
31/03/2000,1,"Healthcare, Medical Equipment, and Drugs",.073404789
31/03/2000,1,Utilities,.013147695
31/03/2000,1,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",.1850787
31/03/2000,2,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",.033193316
31/03/2000,2,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",.022963718
31/03/2000,2,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",.11833173
31/03/2000,2,"Oil, Gas, and Coal Extraction and Products",.041348513
31/03/2000,2,"Business Equipment -- Computers, Software, and Electronic Equipment",.32921398
31/03/2000,2,Telephone and Television Transmission,.074848376
31/03/2000,2,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",.099536732
31/03/2000,2,"Healthcare, Medical Equipment, and Drugs",.066094741
31/03/2000,2,Utilities,.013037302
31/03/2000,2,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",.20143162
31/03/2000,3,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",.031753473
31/03/2000,3,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",.021237802
31/03/2000,3,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",.11990414
31/03/2000,3,"Oil, Gas, and Coal Extraction and Products",.049800403
31/03/2000,3,"Business Equipment -- Computers, Software, and Electronic Equipment",.33660525
31/03/2000,3,Telephone and Television Transmission,.066542156
31/03/2000,3,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",.10325334
31/03/2000,3,"Healthcare, Medical Equipment, and Drugs",.066739179
31/03/2000,3,Utilities,.012450953
31/03/2000,3,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",.19171335
31/03/2000,4,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",.04448919
31/03/2000,4,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",.023527101
31/03/2000,4,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",.13194899
31/03/2000,4,"Oil, Gas, and Coal Extraction and Products",.046483122
31/03/2000,4,"Business Equipment -- Computers, Software, and Electronic Equipment",.32782918
31/03/2000,4,Telephone and Television Transmission,.063810319
31/03/2000,4,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",.10029989
31/03/2000,4,"Healthcare, Medical Equipment, and Drugs",.083534949
31/03/2000,4,Utilities,.01262121
31/03/2000,4,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",.1654561
31/03/2000,5,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",.060878552
31/03/2000,5,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",.020741032
31/03/2000,5,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",.15402576
31/03/2000,5,"Oil, Gas, and Coal Extraction and Products",.054513235
31/03/2000,5,"Business Equipment -- Computers, Software, and Electronic Equipment",.27464333
31/03/2000,5,Telephone and Television Transmission,.060573805
31/03/2000,5,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",.099798746
31/03/2000,5,"Healthcare, Medical Equipment, and Drugs",.069823526
31/03/2000,5,Utilities,.015086336
31/03/2000,5,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",.18991563
31/03/2000,6,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",.029143449
31/03/2000,6,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",.014220211
31/03/2000,6,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",.11234877
31/03/2000,6,"Oil, Gas, and Coal Extraction and Products",.044832438
31/03/2000,6,"Business Equipment -- Computers, Software, and Electronic Equipment",.37402126
31/03/2000,6,Telephone and Television Transmission,.091360085
31/03/2000,6,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",.10124499
31/03/2000,6,"Healthcare, Medical Equipment, and Drugs",.063369207
31/03/2000,6,Utilities,.011948853
31/03/2000,6,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",.15751074
31/03/2000,7,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",.02880561
31/03/2000,7,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",.017229725
31/03/2000,7,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",.1254345
31/03/2000,7,"Oil, Gas, and Coal Extraction and Products",.056358214
31/03/2000,7,"Business Equipment -- Computers, Software, and Electronic Equipment",.35733131
31/03/2000,7,Telephone and Television Transmission,.080704406
31/03/2000,7,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",.099051572
31/03/2000,7,"Healthcare, Medical Equipment, and Drugs",.066247597
31/03/2000,7,Utilities,.015965767
31/03/2000,7,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",.15287131
31/03/2000,8,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",.028662005
31/03/2000,8,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",.01352122
31/03/2000,8,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",.11513804
31/03/2000,8,"Oil, Gas, and Coal Extraction and Products",.038164254
31/03/2000,8,"Business Equipment -- Computers, Software, and Electronic Equipment",.36613229
31/03/2000,8,Telephone and Television Transmission,.10760093
31/03/2000,8,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",.097652808
31/03/2000,8,"Healthcare, Medical Equipment, and Drugs",.063304342
31/03/2000,8,Utilities,.010444236
31/03/2000,8,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",.15937987
31/03/2000,9,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",.029537028
31/03/2000,9,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",.025942214
31/03/2000,9,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",.11032498
31/03/2000,9,"Oil, Gas, and Coal Extraction and Products",.043696888
31/03/2000,9,"Business Equipment -- Computers, Software, and Electronic Equipment",.30851543
31/03/2000,9,Telephone and Television Transmission,.12220724
31/03/2000,9,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",.096993856
31/03/2000,9,"Healthcare, Medical Equipment, and Drugs",.064399011
31/03/2000,9,Utilities,.014759675
31/03/2000,9,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",.18362364
31/03/2000,10,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",.025204502
31/03/2000,10,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",.014487552
31/03/2000,10,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",.11673978
31/03/2000,10,"Oil, Gas, and Coal Extraction and Products",.053551327
31/03/2000,10,"Business Equipment -- Computers, Software, and Electronic Equipment",.35935026
31/03/2000,10,Telephone and Television Transmission,.083557278
31/03/2000,10,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",.10340428
31/03/2000,10,"Healthcare, Medical Equipment, and Drugs",.075043142
31/03/2000,10,Utilities,.013800712
31/03/2000,10,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",.15486115
30/06/2000,1,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",.037702538
30/06/2000,1,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",.019135488
30/06/2000,1,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",.12881626
30/06/2000,1,"Oil, Gas, and Coal Extraction and Products",.05739788
30/06/2000,1,"Business Equipment -- Computers, Software, and Electronic Equipment",.26492813
30/06/2000,1,Telephone and Television Transmission,.06569688
30/06/2000,1,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",.092086993
30/06/2000,1,"Healthcare, Medical Equipment, and Drugs",.09912584
30/06/2000,1,Utilities,.019064251
30/06/2000,1,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",.21604575
30/06/2000,2,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",.037526365
30/06/2000,2,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",.022076165
30/06/2000,2,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",.11930542
30/06/2000,2,"Oil, Gas, and Coal Extraction and Products",.049993958
30/06/2000,2,"Business Equipment -- Computers, Software, and Electronic Equipment",.27612028
30/06/2000,2,Telephone and Television Transmission,.064987749
30/06/2000,2,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",.092740804
30/06/2000,2,"Healthcare, Medical Equipment, and Drugs",.091741189
30/06/2000,2,Utilities,.020147802
30/06/2000,2,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",.2253603
