date,mgrsizeq,doubleq,weights
31/03/2000,1,1,.0005094161
31/03/2000,1,2,.00047335369
31/03/2000,1,3,.00018539376
31/03/2000,1,4,.00072918733
31/03/2000,1,5,.001880448
31/03/2000,1,6,.0025308097
31/03/2000,1,7,.001616193
31/03/2000,1,8,.0020366719
31/03/2000,1,9,.0035339491
31/03/2000,1,10,.0048634051
31/03/2000,1,11,.0049840338
31/03/2000,1,12,.0080724228
31/03/2000,1,13,.013359549
31/03/2000,1,14,.0080712885
31/03/2000,1,15,.0092578167
31/03/2000,1,16,.025116822
31/03/2000,1,17,.037217312
31/03/2000,1,18,.024942128
31/03/2000,1,19,.015515431
31/03/2000,1,20,.0053262552
31/03/2000,1,21,.55530387
31/03/2000,1,22,.1717093
31/03/2000,1,23,.064588971
31/03/2000,1,24,.03242068
31/03/2000,1,25,.0057553262
31/03/2000,2,1,.00011954799
31/03/2000,2,2,.00016420404
31/03/2000,2,3,.00029558662
31/03/2000,2,4,.00028062053
31/03/2000,2,5,.00092734356
31/03/2000,2,6,.00090643833
31/03/2000,2,7,.00080663129
31/03/2000,2,8,.001036666
31/03/2000,2,9,.0013626053
31/03/2000,2,10,.0030659223
31/03/2000,2,11,.0041771955
31/03/2000,2,12,.0060764304
31/03/2000,2,13,.0088631976
31/03/2000,2,14,.0059938403
31/03/2000,2,15,.006125893
31/03/2000,2,16,.020673366
31/03/2000,2,17,.031859834
31/03/2000,2,18,.022996292
31/03/2000,2,19,.014784989
31/03/2000,2,20,.005629309
31/03/2000,2,21,.57460988
31/03/2000,2,22,.16854124
31/03/2000,2,23,.073404923
31/03/2000,2,24,.039728925
31/03/2000,2,25,.007569131
31/03/2000,3,1,.000011580404
31/03/2000,3,2,.00004406333
31/03/2000,3,3,.00015287117
31/03/2000,3,4,.00025778561
31/03/2000,3,5,.00042562722
31/03/2000,3,6,.00099813333
31/03/2000,3,7,.00037213691
31/03/2000,3,8,.00049312931
31/03/2000,3,9,.00098668272
31/03/2000,3,10,.0021506799
31/03/2000,3,11,.0029415309
31/03/2000,3,12,.0029304167
31/03/2000,3,13,.0058396114
31/03/2000,3,14,.0036662838
31/03/2000,3,15,.0035904241
31/03/2000,3,16,.012894049
31/03/2000,3,17,.019955799
31/03/2000,3,18,.014937936
31/03/2000,3,19,.0085446509
31/03/2000,3,20,.0033918214
31/03/2000,3,21,.61648911
31/03/2000,3,22,.18119562
31/03/2000,3,23,.068793185
31/03/2000,3,24,.033526469
31/03/2000,3,25,.015410355
31/03/2000,4,1,.0001085179
31/03/2000,4,2,.00014597757
31/03/2000,4,3,.00017115261
31/03/2000,4,4,.00040912823
31/03/2000,4,5,.0011136782
31/03/2000,4,6,.00064686663
31/03/2000,4,7,.00061717472
31/03/2000,4,8,.00073424669
31/03/2000,4,9,.002073932
31/03/2000,4,10,.0029573583
31/03/2000,4,11,.00257797
31/03/2000,4,12,.0041553909
31/03/2000,4,13,.0067963721
31/03/2000,4,14,.0045713214
31/03/2000,4,15,.0040939446
31/03/2000,4,16,.012545917
