fdate,mgrsizeq,doubleq,weights
31mar2000,1,1,.0005094161
31mar2000,1,2,.00047335369
31mar2000,1,3,.00018683783
31mar2000,1,4,.00072774326
31mar2000,1,5,.001880448
31mar2000,1,6,.0025308097
31mar2000,1,7,.001616193
31mar2000,1,8,.0020372951
31mar2000,1,9,.0035333259
31mar2000,1,10,.0048634051
31mar2000,1,11,.0049840338
31mar2000,1,12,.008092775
31mar2000,1,13,.013336276
31mar2000,1,14,.0080473432
31mar2000,1,15,.0092846835
31mar2000,1,16,.024991121
31mar2000,1,17,.037102643
31mar2000,1,18,.025072446
31mar2000,1,19,.015609214
31mar2000,1,20,.005342518
31mar2000,1,21,.54737186
31mar2000,1,22,.17908026
31mar2000,1,23,.065971807
31mar2000,1,24,.031310219
31mar2000,1,25,.0060439478
31mar2000,2,1,.00011954799
31mar2000,2,2,.00016420404
31mar2000,2,3,.00029558662
31mar2000,2,4,.00028062053
31mar2000,2,5,.00092734356
31mar2000,2,6,.00090643833
31mar2000,2,7,.00080663129
31mar2000,2,8,.0010376021
31mar2000,2,9,.0013616692
31mar2000,2,10,.0030659223
31mar2000,2,11,.0041771955
31mar2000,2,12,.0060775662
31mar2000,2,13,.0088582654
31mar2000,2,14,.0059973234
31mar2000,2,15,.0061262064
31mar2000,2,16,.020498013
31mar2000,2,17,.031909667
31mar2000,2,18,.022835847
31mar2000,2,19,.014868542
31mar2000,2,20,.005831724
31mar2000,2,21,.56158948
31mar2000,2,22,.18132065
31mar2000,2,23,.07380493
31mar2000,2,24,.039044913
31mar2000,2,25,.0080941143
31mar2000,3,1,.000011580404
31mar2000,3,2,.00004406333
31mar2000,3,3,.0001529265
31mar2000,3,4,.00025756579
31mar2000,3,5,.00042579172
31mar2000,3,6,.00099813333
31mar2000,3,7,.00037213691
31mar2000,3,8,.0004931835
31mar2000,3,9,.00098662835
31mar2000,3,10,.0021506799
31mar2000,3,11,.0029415309
31mar2000,3,12,.0029628912
31mar2000,3,13,.0058021215
31mar2000,3,14,.0036605666
31mar2000,3,15,.0036011569
31mar2000,3,16,.012801411
31mar2000,3,17,.019925941
31mar2000,3,18,.015004712
31mar2000,3,19,.0085847965
31mar2000,3,20,.0034073961
31mar2000,3,21,.60601157
31mar2000,3,22,.19097036
31mar2000,3,23,.069866635
31mar2000,3,24,.03301556
31mar2000,3,25,.015550571
31mar2000,4,1,.0001085179
31mar2000,4,2,.00014597757
31mar2000,4,3,.0001718109
31mar2000,4,4,.0004053154
31mar2000,4,5,.0011168327
31mar2000,4,6,.00064686663
31mar2000,4,7,.00061717472
31mar2000,4,8,.00073434698
31mar2000,4,9,.0020738316
31mar2000,4,10,.0029573583
31mar2000,4,11,.00257797
31mar2000,4,12,.004160645
31mar2000,4,13,.0067878929
31mar2000,4,14,.0045615993
31mar2000,4,15,.0041068918
31mar2000,4,16,.01230306
31mar2000,4,17,.022127122
31mar2000,4,18,.015319096
31mar2000,4,19,.0093614925
31mar2000,4,20,.0047072158
31mar2000,4,21,.61666584
31mar2000,4,22,.18451519
31mar2000,4,23,.070044756
31mar2000,4,24,.029738249
31mar2000,4,25,.0040449183
31mar2000,5,1,.000038611
31mar2000,5,2,.000079428872
31mar2000,5,3,.000043594951
31mar2000,5,4,.000094335337
31mar2000,5,5,.00039427256
31mar2000,5,6,.0005949568
31mar2000,5,7,.00019758739
31mar2000,5,8,.00029999376
31mar2000,5,9,.00057690876
31mar2000,5,10,.0011735506
31mar2000,5,11,.0015668331
31mar2000,5,12,.0020612297
31mar2000,5,13,.0041255662
31mar2000,5,14,.0025908663
31mar2000,5,15,.0025748804
31mar2000,5,16,.008872455
31mar2000,5,17,.013821848
31mar2000,5,18,.010509535
31mar2000,5,19,.0057867933
31mar2000,5,20,.0026020207
31mar2000,5,21,.65278083
31mar2000,5,22,.19959845
31mar2000,5,23,.061857071
31mar2000,5,24,.022966437
31mar2000,5,25,.0047919806
31mar2000,6,1,.000032062679
31mar2000,6,2,.000031549542
31mar2000,6,3,.000052357747
31mar2000,6,4,.00010773634
31mar2000,6,5,.00047566023
31mar2000,6,6,.00093214127
31mar2000,6,7,.00035037595
31mar2000,6,8,.00034791545
31mar2000,6,9,.00090245041
31mar2000,6,10,.0019446079
31mar2000,6,11,.0024400717
31mar2000,6,12,.0020433408
31mar2000,6,13,.0045026713
31mar2000,6,14,.0028170233
31mar2000,6,15,.003103239
31mar2000,6,16,.0099218469
